"nobs","Mmod","Smod","kernel","criterion","mean_ISE","sd_ISE","median_ISE","IQR_ISE","mean_time_min"
300,2,1,"smlnorm","lscv",10813.9748453437,9336.89876028945,8384.78738999295,6380.57520278718,1.24617903993543
100,3,1,"smlnorm","lscv",16173.5252816939,30137.8385173864,10562.2278111113,9812.5431916013,0.352745521953329
200,3,1,"smlnorm","lscv",12132.0044364234,14011.9721181587,8351.19345746101,7817.98485405868,0.758970983275988
300,3,1,"smlnorm","lscv",9488.33396654818,9335.89785691187,7193.14935909997,5528.8357257815,1.29619619647662
100,1,2,"smlnorm","lscv",5539.83745023181,12724.0821123643,3227.73279962519,3881.37389982996,0.292230675245325
200,1,2,"smlnorm","lscv",3944.71490851912,4073.5227146553,3000.05229696282,2808.45868553556,0.63106635317672
300,1,2,"smlnorm","lscv",3275.2381652557,2571.26675081042,2652.61905738756,2219.34902605921,1.02766797058284
100,2,2,"smlnorm","lscv",67348.9520242069,275658.007048107,35916.6908218076,41010.6489124666,0.393157528414546
200,2,2,"smlnorm","lscv",38763.1337519827,49669.0994387104,27266.2703339115,21877.0556824972,0.83803149551386
300,2,2,"smlnorm","lscv",32790.797403934,80821.7275550372,23605.8464369542,18210.013760683,1.40663988415617
100,3,2,"smlnorm","lscv",42669.6538229233,53699.9452989345,27135.2098147061,27156.9363296016,0.394532954134047
200,3,2,"smlnorm","lscv",32627.901979754,33155.7636684032,23824.27000586,20770.0167121666,0.84699741503379
300,3,2,"smlnorm","lscv",26180.0742827412,28842.3188954262,20040.3422184329,14489.0870591078,1.42403141291967
100,1,3,"smlnorm","lscv",18516.5600361584,34669.8230425128,11351.8869933123,11877.0745292009,0.196205921894095
200,1,3,"smlnorm","lscv",12691.8209184591,14022.6934028047,9583.59043061015,8277.17430372485,0.428110028364851
300,1,3,"smlnorm","lscv",11127.711521403,8470.73278799109,8809.76587085267,6782.523832536,0.721793820185121
100,2,3,"smlnorm","lscv",403798.125143412,428556.302270257,289455.805285865,266160.387776387,0.417133255066195
200,2,3,"smlnorm","lscv",329890.643743695,387015.142464728,241265.365412791,202031.606523441,0.916046521203437
300,2,3,"smlnorm","lscv",267801.518753026,251813.385302918,214916.853742422,152870.814357407,1.57573070929308
100,3,3,"smlnorm","lscv",253667.911316058,346142.904249975,171398.246514923,180886.431605226,0.323980167345144
200,3,3,"smlnorm","lscv",211167.771054807,210957.076393164,154272.886707869,150529.4290337,0.72253106625285
300,3,3,"smlnorm","lscv",198795.518223147,168099.720648411,155739.697270381,139973.709978293,1.40296194546778
100,1,1,"smnorm","lscv",1736.93975533864,332.645581780798,1640.18697606477,465.466573711034,0.204098796165393
200,1,1,"smnorm","lscv",1493.52430811553,360.602706341268,1423.79248152182,248.350315908938,0.391690857805467
300,1,1,"smnorm","lscv",1403.7268288936,489.7317241062,1325.93635321657,210.021381398222,0.577338753660054
100,2,1,"smnorm","lscv",8766.38647107974,1219.15939660181,8673.75056205664,1568.48832943338,0.225680180914545
200,2,1,"smnorm","lscv",7107.15751413025,1063.46526304681,7093.71239202163,1174.08126322185,0.372718336316757
300,2,1,"smnorm","lscv",6170.78396838371,651.780633353599,6153.98753240124,881.05460741883,0.528765257742877
100,3,1,"smnorm","lscv",8392.53224128009,998.428845242665,8312.89552520599,1258.93915493894,0.243530081705345
200,3,1,"smnorm","lscv",6837.45635557233,720.746169936145,6813.89624509297,977.043242415582,0.419683664715073
300,3,1,"smnorm","lscv",6036.6794139566,565.561221149492,6003.63947714748,737.071742068249,0.595790841927131
100,1,2,"smnorm","lscv",3784.09601308253,945.961937779774,3370.36962851938,1397.7781192165,0.166824918492542
200,1,2,"smnorm","lscv",3452.05061660236,785.103904496797,3111.79138962032,1195.67656731728,0.301281090336852
300,1,2,"smnorm","lscv",3210.34424004889,669.938002013196,2917.650661463,1077.93247158607,0.46798066625682
100,2,2,"smnorm","lscv",29294.6031136253,3509.23435091832,29383.0565405753,4206.24285983467,0.244371718847348
200,2,2,"smnorm","lscv",24373.1502283169,2454.98613028642,24328.0581059796,3106.83503214226,0.403491507420161
300,2,2,"smnorm","lscv",21589.2470737642,2261.21478672268,21689.4571099268,2346.70797042295,0.571173618691197
100,3,2,"smnorm","lscv",26744.5619924114,3340.10336429503,26956.4913909976,3901.84134292741,0.233458237536252
200,3,2,"smnorm","lscv",22249.1901288785,2455.48499273697,22505.8549599317,3249.63834853194,0.407663967689344
300,3,2,"smnorm","lscv",20018.4827128103,2258.23427214725,20256.5387121638,2607.0778303583,0.573741217004135
100,1,3,"smnorm","lscv",21917.7929710331,6926.8857147599,24487.1716642816,12069.2858326006,0.0831972100422718
200,1,3,"smnorm","lscv",22516.021495464,5255.6936852184,23909.1562946837,966.408543094276,0.173639073754506
300,1,3,"smnorm","lscv",22465.0617840133,3663.16709177504,23423.0868105684,901.182159898704,0.278636540247438
100,2,3,"smnorm","lscv",333813.737109823,74613.0379627536,328183.315962412,68224.4397266478,0.176947623603822
200,2,3,"smnorm","lscv",309430.775479599,64711.3046131064,296247.832938773,92540.8400074188,0.312841313266351
300,2,3,"smnorm","lscv",289665.256615926,57653.6636178507,276585.081503606,82535.6965413834,0.454277001596832
100,3,3,"smnorm","lscv",236938.482317584,65048.3104309722,245950.369340489,26987.2436857753,0.147528863251985
200,3,3,"smnorm","lscv",240701.491089828,49641.1615411281,238358.37737583,21871.4825959563,0.290571500861552
300,3,3,"smnorm","lscv",230186.693141055,48268.6150345914,229421.870291483,20203.0637664403,0.424730141119411
100,1,1,"Wishart","lscv",1003.16780624985,502.099881400019,897.229513712002,436.416314947661,1.08494691678789
200,1,1,"Wishart","lscv",764.196480437264,321.8455861813,691.606317977513,331.930268777288,2.6501987484439
300,1,1,"Wishart","lscv",671.355602463806,298.958835013556,614.537173982861,240.030738188437,4.41887192709061
100,2,1,"Wishart","lscv",8543.33608121276,5956.36621961961,7647.34361360138,3338.92459630034,1.12014459135244
200,2,1,"Wishart","lscv",6558.67872028857,2459.97516957528,6000.649750327,2555.70878106036,2.66853233573105
300,2,1,"Wishart","lscv",5618.28590490657,1978.98783139028,5155.93351734185,1863.20343264292,4.53902268594053
100,3,1,"Wishart","lscv",6867.82293791905,2552.40376990591,6328.8219194728,2636.44920481723,1.1444822994216
200,3,1,"Wishart","lscv",5527.36247282195,2123.09294032552,5011.73086158231,2011.58671020117,2.65594484608931
300,3,1,"Wishart","lscv",4739.06006883025,1931.96318837155,4267.89987511679,1683.93095006206,4.59405510478731
100,1,2,"Wishart","lscv",1944.88547441198,902.503147778553,1736.26421209379,977.70975143449,0.971476991660893
200,1,2,"Wishart","lscv",1720.55572106999,3206.84653662908,1453.52191508871,739.866345044334,2.30537238968924
300,1,2,"Wishart","lscv",1371.15283886766,528.699909774686,1281.6582722848,599.419760912701,3.92137771501439
100,2,2,"Wishart","lscv",24098.7366663298,21244.5570958295,21304.3014486986,9574.31551397487,1.18378650083129
200,2,2,"Wishart","lscv",17873.6144815794,6983.94590503206,16427.789987212,6483.39351828451,2.80715360101312
300,2,2,"Wishart","lscv",15383.2172476673,5935.49860562446,14006.4488735691,5550.23330061417,4.71139719553369
100,3,2,"Wishart","lscv",18628.7149592218,13658.8522718021,16356.050464293,7220.04162651497,1.2135349174845
200,3,2,"Wishart","lscv",14948.9144201312,9563.12429512196,13428.6603983311,5602.82300626677,2.79715215572699
300,3,2,"Wishart","lscv",12684.0204904156,5119.29546025784,11612.3950807491,4081.88040760164,4.73916669353688
100,1,3,"Wishart","lscv",8827.41430075029,4611.43969251267,7896.50233709007,4475.30156472128,0.625237198550409
200,1,3,"Wishart","lscv",7210.25658950555,3251.86906259404,6683.91019764,3472.89019471895,1.50658569127942
300,1,3,"Wishart","lscv",6455.55118311862,3987.83220372185,5951.78164997634,2866.9976587838,2.60702941069224
100,2,3,"Wishart","lscv",209895.559680013,74851.6592119124,197345.959944566,91807.5659411061,1.26853175109718
200,2,3,"Wishart","lscv",172488.904283268,60169.8277757447,161989.532397914,67311.3200564326,3.019969215473
300,2,3,"Wishart","lscv",150535.404884591,57658.4016728334,139652.799363226,59589.0230670871,5.13626801814341
100,3,3,"Wishart","lscv",154679.618390618,59065.8755147199,147053.535454578,74096.7495522665,1.11166022200681
200,3,3,"Wishart","lscv",123747.299384375,47124.3692134141,116641.986420299,56336.7662409591,2.70284150726317
300,3,3,"Wishart","lscv",114482.3024517,100184.59144833,100927.404406149,49043.1410129787,4.6205670725011
